Date,Country,Product,Revenue,Cost,Profit, Percent Target ,Pipeline
2017-04-14,Japan,neutratronic,484666,315032.9,169633.1,15,239172
2017-04-15,Japan,aeox,169267,110023.55,59243.45,77,850536
2017-04-16,Japan,apiera,113314,73654.1,39659.9,41,506603
2017-04-17,Japan,apiera,386810,251426.5,135383.5,78,962467
2017-04-18,Japan,rezota,418004,271702.6,146301.4,91,349022
2017-04-19,Japan,apiera,397355,258280.75,139074.25,43,666086
2017-04-20,Japan,rezota,143758,93442.7,50315.3,86,177354
2017-04-21,Japan,neutratronic,73820,47983,25837,46,290499
2017-04-22,Japan,aeox,495560,322114,173446,89,864966
2017-04-23,Japan,rezota,115912,75342.8,40569.2,47,797281
2017-04-24,Japan,apiera,39662,25780.3,13881.7,52,510454
2017-04-25,Japan,adoriva,336343,218622.95,117720.05,41,944888
2017-04-26,Japan,vucoo,21864,14211.6,7652.4,4,307366
2017-04-27,Japan,adoriva,214465,139402.25,75062.75,67,233740
2017-04-28,Japan,rezota,470569,305869.85,164699.15,52,632009
2017-04-29,Japan,aeox,21934,14257.1,7676.9,55,203294
2017-04-30,Japan,apiera,340639,221415.35,119223.65,47,871971
2017-05-01,Japan,aeox,143482,93263.3,50218.7,91,336252
2017-05-02,Japan,rezota,148110,96271.5,51838.5,45,318217
2017-05-03,Japan,adoriva,389206,252983.9,136222.1,73,460385
2017-05-04,Japan,apiera,415303,269946.95,145356.05,30,943838
2017-05-05,Japan,neutratronic,66679,43341.35,23337.65,34,591881
2017-05-06,Japan,neutratronic,30034,19522.1,10511.9,26,984910
2017-05-07,Japan,rezota,389976,253484.4,136491.6,53,230582
2017-05-08,Japan,aeox,374173,243212.45,130960.55,36,560931
2017-05-09,Japan,vucoo,496866,322962.9,173903.1,22,141369
2017-05-10,Japan,rezota,237291,154239.15,83051.85,83,377809
2017-05-11,Japan,vucoo,334460,217399,117061,42,644686
2017-05-12,Japan,rezota,261259,169818.35,91440.65,37,191379
2017-05-13,Japan,adoriva,24030,15619.5,8410.5,56,898463
2017-05-14,Japan,neutratronic,281810,183176.5,98633.5,0,472892
2017-05-15,Japan,adoriva,297317,193256.05,104060.95,68,335845
2017-05-16,Japan,vucoo,280331,182215.15,98115.85,76,155314
2017-05-17,Japan,adoriva,462329,300513.85,161815.15,83,125236
2017-05-18,Japan,rezota,355413,231018.45,124394.55,35,892705
2017-05-19,Japan,apiera,17470,11355.5,6114.5,22,259267
2017-05-20,Japan,rezota,210081,136552.65,73528.35,30,321430
2017-05-21,Japan,neutratronic,260864,169561.6,91302.4,94,169326
2017-05-22,Japan,vucoo,439521,285688.65,153832.35,98,586575
2017-05-23,Japan,aeox,436406,283663.9,152742.1,40,788650
2017-05-24,Japan,aeox,24093,15660.45,8432.55,55,886618
2017-05-25,Japan,apiera,155099,100814.35,54284.65,5,425300
2017-05-26,Japan,rezota,56711,36862.15,19848.85,1,899295
2017-05-27,Japan,rezota,221539,144000.35,77538.65,8,250974
2017-05-28,Japan,vucoo,62161,40404.65,21756.35,77,363687
2017-05-29,Japan,apiera,395032,256770.8,138261.2,41,439288
2017-05-30,Japan,adoriva,129496,84172.4,45323.6,8,306475
2017-05-31,Japan,apiera,169979,110486.35,59492.65,3,907195
2017-06-01,Japan,vucoo,207704,135007.6,72696.4,57,245975
2017-06-02,Japan,aeox,431157,280252.05,150904.95,10,486785
2017-06-03,Japan,apiera,399890,259928.5,139961.5,93,128360
2017-06-04,Japan,rezota,149242,97007.3,52234.7,48,710724
2017-06-05,Japan,adoriva,233459,151748.35,81710.65,69,325504
2017-06-06,Japan,vucoo,246185,160020.25,86164.75,54,444114
2017-06-07,Japan,apiera,191282,124333.3,66948.7,67,919328
2017-06-08,Japan,rezota,250867,163063.55,87803.45,70,668539
2017-06-09,Japan,neutratronic,314909,204690.85,110218.15,20,144674
2017-06-10,Japan,vucoo,239911,155942.15,83968.85,88,263315
2017-06-11,Japan,neutratronic,233022,151464.3,81557.7,77,754224
2017-06-12,Japan,apiera,92639,60215.35,32423.65,6,136298
2017-06-13,Japan,neutratronic,26097,16963.05,9133.95,12,574131
2017-06-14,Japan,vucoo,164695,107051.75,57643.25,9,413535
2017-06-15,Japan,adoriva,315237,204904.05,110332.95,15,435095
2017-06-16,Japan,adoriva,275879,179321.35,96557.65,86,389496
2017-06-17,Japan,rezota,154576,100474.4,54101.6,87,578024
2017-06-18,Japan,rezota,85721,55718.65,30002.35,37,944782
2017-06-19,Japan,rezota,292835,190342.75,102492.25,42,259922
2017-06-20,Japan,neutratronic,11145,7244.25,3900.75,83,443018
2017-06-21,Japan,apiera,410965,267127.25,143837.75,17,547017
2017-06-22,Japan,adoriva,368904,239787.6,129116.4,45,742396
2017-06-23,Japan,vucoo,151619,98552.35,53066.65,37,232373
2017-06-24,Japan,apiera,233619,151852.35,81766.65,31,271141
2017-06-25,Japan,vucoo,399648,259771.2,139876.8,6,862810
2017-06-26,Japan,rezota,12656,8226.4,4429.6,61,192296
2017-06-27,Japan,adoriva,87011,56557.15,30453.85,90,984767
2017-06-28,Japan,vucoo,263621,171353.65,92267.35,10,939681
2017-06-29,Japan,neutratronic,225403,146511.95,78891.05,51,957623
2017-06-30,Japan,rezota,169211,109987.15,59223.85,43,657950
2017-07-01,Japan,rezota,41138,26739.7,14398.3,39,808053
2017-07-02,Japan,apiera,213372,138691.8,74680.2,90,760484
2017-07-03,Japan,adoriva,65204,42382.6,22821.4,71,940774
2017-07-04,Japan,aeox,436977,284035.05,152941.95,8,561720
2017-07-05,Japan,rezota,385465,250552.25,134912.75,19,451052
2017-07-06,Japan,apiera,241328,156863.2,84464.8,74,273783
2017-07-07,Japan,neutratronic,20646,13419.9,7226.1,85,946685
2017-07-08,Japan,neutratronic,192757,125292.05,67464.95,92,891293
2017-07-09,Japan,neutratronic,254437,165384.05,89052.95,75,461706
2017-07-10,Japan,vucoo,114925,74701.25,40223.75,46,167159
2017-07-11,Japan,rezota,404887,263176.55,141710.45,16,925916
2017-07-12,Japan,rezota,243070,157995.5,85074.5,5,513535
2017-07-13,Japan,neutratronic,99767,64848.55,34918.45,27,969812
2017-07-14,Japan,apiera,242278,157480.7,84797.3,62,910929
2017-07-15,Japan,aeox,421532,273995.8,147536.2,21,563250
2017-07-16,Japan,adoriva,120533,78346.45,42186.55,57,711968
2017-07-17,Japan,aeox,41235,26802.75,14432.25,99,885728
2017-07-18,Japan,aeox,365641,237666.65,127974.35,34,595075
2017-07-19,Japan,neutratronic,315214,204889.1,110324.9,66,658927
2017-07-20,Japan,rezota,90820,59033,31787,6,119277
2017-07-21,Japan,adoriva,366212,238037.8,128174.2,91,576851
2017-07-22,Japan,neutratronic,192412,125067.8,67344.2,8,707842
2017-07-23,Japan,rezota,101468,65954.2,35513.8,78,404887
2017-07-24,Japan,adoriva,445147,289345.55,155801.45,76,922404
2017-07-25,Japan,rezota,63213,41088.45,22124.55,86,249924
2017-07-26,Japan,adoriva,124776,81104.4,43671.6,14,595399
2017-07-27,Japan,neutratronic,262642,170717.3,91924.7,1,535001
2017-07-28,Japan,vucoo,487876,317119.4,170756.6,80,100922
2017-07-29,Japan,adoriva,270327,175712.55,94614.45,9,474033
2017-07-30,Japan,adoriva,360556,234361.4,126194.6,68,538888
2017-07-31,Japan,neutratronic,321299,208844.35,112454.65,55,317241
2017-08-01,Japan,aeox,207819,135082.35,72736.65,64,947816
2017-08-02,Japan,rezota,288396,187457.4,100938.6,44,286344
2017-08-03,Japan,rezota,548,356.2,191.8,8,678081
2017-08-04,Japan,rezota,288562,187565.3,100996.7,34,144429
2017-08-05,Japan,vucoo,405678,263690.7,141987.3,22,838159
2017-08-06,Japan,adoriva,131018,85161.7,45856.3,88,938654
2017-08-07,Japan,aeox,177584,115429.6,62154.4,95,553503
2017-08-08,Japan,vucoo,26525,17241.25,9283.75,98,556595
2017-08-09,Japan,rezota,490510,318831.5,171678.5,21,187596
2017-08-10,Japan,apiera,285332,185465.8,99866.2,92,295116
2017-08-11,Japan,rezota,460906,299588.9,161317.1,82,854608
2017-08-12,Japan,apiera,180623,117404.95,63218.05,14,355785
2017-08-13,Japan,rezota,12766,8297.9,4468.1,98,905510
2017-08-14,Japan,adoriva,43822,28484.3,15337.7,69,991800
2017-08-15,Japan,rezota,142566,92667.9,49898.1,52,430185
2017-08-16,Japan,vucoo,324437,210884.05,113552.95,84,208564
2017-08-17,Japan,aeox,261239,169805.35,91433.65,1,739333
2017-08-18,Japan,rezota,393244,255608.6,137635.4,2,530347
2017-08-19,Japan,aeox,221344,143873.6,77470.4,73,810819
2017-08-20,Japan,rezota,196063,127440.95,68622.05,76,152686
2017-08-21,Japan,rezota,45582,29628.3,15953.7,94,255041
2017-08-22,Japan,rezota,218904,142287.6,76616.4,1,272996
2017-08-23,Japan,adoriva,339332,220565.8,118766.2,7,912373
2017-08-24,Japan,apiera,55049,35781.85,19267.15,12,132952
2017-08-25,Japan,vucoo,362852,235853.8,126998.2,36,561804
2017-08-26,Japan,aeox,133514,86784.1,46729.9,76,326118
2017-08-27,Japan,neutratronic,66418,43171.7,23246.3,45,507344
2017-08-28,Japan,aeox,349536,227198.4,122337.6,74,945599
2017-08-29,Japan,rezota,417930,271654.5,146275.5,62,187277
2017-08-30,Japan,apiera,375975,244383.75,131591.25,42,371971
2017-08-31,Japan,vucoo,350417,227771.05,122645.95,97,792312
2017-09-01,Japan,vucoo,112768,73299.2,39468.8,4,381523
2017-09-02,Japan,adoriva,286309,186100.85,100208.15,9,702332
2017-09-03,Japan,apiera,123695,80401.75,43293.25,7,272357
2017-09-04,Japan,rezota,385983,250888.95,135094.05,1,589894
2017-09-05,Japan,aeox,363326,236161.9,127164.1,22,441196
2017-09-06,Japan,vucoo,370162,240605.3,129556.7,43,680337
2017-09-07,Japan,adoriva,219055,142385.75,76669.25,28,525818
2017-09-08,Japan,aeox,51318,33356.7,17961.3,39,143523
2017-09-09,Japan,rezota,330256,214666.4,115589.6,71,700364
2017-09-10,Japan,aeox,256566,166767.9,89798.1,65,326599
2017-09-11,Japan,adoriva,435771,283251.15,152519.85,66,505026
2017-09-12,Japan,aeox,151759,98643.35,53115.65,34,619208
2017-09-13,Japan,neutratronic,145293,94440.45,50852.55,93,602507
2017-09-14,Japan,adoriva,101461,65949.65,35511.35,56,223637
2017-09-15,Japan,apiera,51332,33365.8,17966.2,53,367898
2017-09-16,Japan,aeox,180687,117446.55,63240.45,39,755271
2017-09-17,Japan,aeox,497060,323089,173971,77,587591
2017-09-18,Japan,neutratronic,248926,161801.9,87124.1,76,159939
2017-09-19,Japan,adoriva,381124,247730.6,133393.4,30,954146
2017-09-20,Japan,adoriva,216641,140816.65,75824.35,90,237787
2017-09-21,Japan,aeox,136665,88832.25,47832.75,10,256187
2017-09-22,Japan,adoriva,8635,5612.75,3022.25,72,113345
2017-09-23,Japan,neutratronic,169291,110039.15,59251.85,90,929684
2017-09-24,Japan,adoriva,192786,125310.9,67475.1,93,645572
2017-09-25,Japan,adoriva,141757,92142.05,49614.95,0,798584
2017-09-26,Japan,vucoo,394875,256668.75,138206.25,95,702327
2017-09-27,Japan,adoriva,291350,189377.5,101972.5,57,395150
2017-09-28,Japan,vucoo,426430,277179.5,149250.5,72,443910
2017-09-29,Japan,apiera,61112,39722.8,21389.2,66,448933
2017-09-30,Japan,aeox,406709,264360.85,142348.15,9,869344
2017-10-01,Japan,aeox,179300,116545,62755,60,778427
2017-10-02,Japan,neutratronic,85451,55543.15,29907.85,79,291975
2017-10-03,Japan,aeox,169672,110286.8,59385.2,57,223024
2017-10-04,Japan,neutratronic,236075,153448.75,82626.25,58,748480
2017-10-05,Japan,neutratronic,315290,204938.5,110351.5,98,830192
2017-10-06,Japan,aeox,119887,77926.55,41960.45,99,205482
2017-10-07,Japan,neutratronic,285745,185734.25,100010.75,14,118223
2017-10-08,Japan,aeox,366362,238135.3,128226.7,73,841497
2017-10-09,Japan,rezota,279096,181412.4,97683.6,90,348508
2017-10-10,Japan,neutratronic,133135,86537.75,46597.25,42,203186
2017-10-11,Japan,apiera,205896,133832.4,72063.6,20,439036
2017-10-12,Japan,adoriva,356556,231761.4,124794.6,15,706596
2017-10-13,Japan,adoriva,1704,1107.6,596.4,32,699779
2017-10-14,Japan,vucoo,326747,212385.55,114361.45,65,409332
2017-10-15,Japan,neutratronic,198901,129285.65,69615.35,16,204268
2017-10-16,Japan,apiera,437273,284227.45,153045.55,23,357034
2017-10-17,Japan,apiera,458562,298065.3,160496.7,72,571969
2017-10-18,Japan,vucoo,302004,196302.6,105701.4,88,484154
2017-10-19,Japan,aeox,152471,99106.15,53364.85,20,682061
2017-10-20,Japan,neutratronic,252422,164074.3,88347.7,74,891887
2017-10-21,Japan,vucoo,238859,155258.35,83600.65,73,304054
2017-10-22,Japan,aeox,226263,147070.95,79192.05,65,746143
2017-10-23,Japan,apiera,352384,229049.6,123334.4,74,610762
2017-10-24,Japan,rezota,388284,252384.6,135899.4,77,850792
2017-10-25,Japan,adoriva,272024,176815.6,95208.4,47,339019
2017-10-26,Japan,aeox,82117,53376.05,28740.95,3,581790
2017-10-27,Japan,apiera,88007,57204.55,30802.45,37,931180
2017-10-28,Japan,rezota,39711,25812.15,13898.85,80,386894
2017-10-29,Japan,apiera,99083,64403.95,34679.05,93,817509
2017-10-30,Japan,apiera,456919,296997.35,159921.65,12,915451
2017-10-31,Japan,adoriva,3204,2082.6,1121.4,83,312202
2017-11-01,Japan,rezota,134385,87350.25,47034.75,37,899123
2017-11-02,Japan,aeox,68122,44279.3,23842.7,4,976084
2017-11-03,Japan,neutratronic,86489,56217.85,30271.15,40,436885
2017-11-04,Japan,aeox,230771,150001.15,80769.85,26,137183
2017-11-05,Japan,adoriva,468436,304483.4,163952.6,9,694791
2017-11-06,Japan,apiera,10010,6506.5,3503.5,19,262740
2017-11-07,Japan,aeox,226255,147065.75,79189.25,40,696356
2017-11-08,Japan,aeox,95425,62026.25,33398.75,90,603946
2017-11-09,Japan,vucoo,476143,309492.95,166650.05,10,352490
2017-11-10,Japan,neutratronic,419393,272605.45,146787.55,90,315150
2017-11-11,Japan,vucoo,338911,220292.15,118618.85,16,965699
2017-11-12,Japan,rezota,6598,4288.7,2309.3,77,603130
2017-11-13,Japan,aeox,152885,99375.25,53509.75,58,912261
2017-11-14,Japan,adoriva,23214,15089.1,8124.9,0,715627
2017-11-15,Japan,neutratronic,382347,248525.55,133821.45,53,357477
2017-11-16,Japan,rezota,35645,23169.25,12475.75,36,647771
2017-11-17,Japan,rezota,349852,227403.8,122448.2,88,244535
2017-11-18,Japan,neutratronic,431982,280788.3,151193.7,64,877727
2017-11-19,Japan,neutratronic,78345,50924.25,27420.75,81,337355
2017-11-20,Japan,apiera,386892,251479.8,135412.2,89,582251
2017-11-21,Japan,adoriva,23601,15340.65,8260.35,94,306157
2017-11-22,Japan,aeox,495506,322078.9,173427.1,89,882683
2017-11-23,Japan,adoriva,20096,13062.4,7033.6,87,308926
2017-11-24,Japan,aeox,31791,20664.15,11126.85,94,969982
2017-11-25,Japan,vucoo,20496,13322.4,7173.6,16,160052
2017-11-26,Japan,adoriva,496873,322967.45,173905.55,85,197746
2017-11-27,Japan,vucoo,444189,288722.85,155466.15,63,585383
2017-11-28,Japan,apiera,375327,243962.55,131364.45,99,175982
2017-11-29,Japan,rezota,456303,296596.95,159706.05,32,313240
2017-11-30,Japan,rezota,46559,30263.35,16295.65,78,219235
2017-12-01,Japan,rezota,110561,71864.65,38696.35,32,927942
2017-12-02,Japan,adoriva,241704,157107.6,84596.4,60,221951
2017-12-03,Japan,aeox,138331,89915.15,48415.85,92,402503
2017-12-04,Japan,rezota,34232,22250.8,11981.2,45,939342
2017-12-05,Japan,rezota,114504,74427.6,40076.4,25,224136
2017-12-06,Japan,apiera,21108,13720.2,7387.8,30,836015
2017-12-07,Japan,neutratronic,188932,122805.8,66126.2,5,377389
2017-12-08,Japan,apiera,247701,161005.65,86695.35,94,560430
2017-12-09,Japan,apiera,334309,217300.85,117008.15,6,698909
2017-12-10,Japan,apiera,424806,276123.9,148682.1,2,626568
2017-12-11,Japan,vucoo,83537,54299.05,29237.95,3,905700
2017-12-12,Japan,vucoo,118504,77027.6,41476.4,69,713148
2017-12-13,Japan,rezota,253261,164619.65,88641.35,100,456850
2017-12-14,Japan,adoriva,420976,273634.4,147341.6,58,662694
2017-12-15,Japan,adoriva,331897,215733.05,116163.95,80,908855
2017-12-16,Japan,adoriva,369140,239941,129199,29,907378
2017-12-17,Japan,adoriva,86316,56105.4,30210.6,31,938446
2017-12-18,Japan,apiera,146989,95542.85,51446.15,46,549680
2017-12-19,Japan,adoriva,221054,143685.1,77368.9,65,770419
2017-12-20,Japan,neutratronic,94095,61161.75,32933.25,76,725100
2017-12-21,Japan,rezota,74717,48566.05,26150.95,43,392191
2017-12-22,Japan,vucoo,148793,96715.45,52077.55,61,960958
2017-12-23,Japan,vucoo,362090,235358.5,126731.5,43,158286
2017-12-24,Japan,aeox,454721,295568.65,159152.35,2,890671
2017-12-25,Japan,aeox,494147,321195.55,172951.45,24,111137
2017-12-26,Japan,vucoo,183848,119501.2,64346.8,18,357078
2017-12-27,Japan,apiera,58839,38245.35,20593.65,79,800479
2017-12-28,Japan,aeox,12549,8156.85,4392.15,89,165275
2017-12-29,Japan,rezota,488716,317665.4,171050.6,56,667741
2017-12-30,Japan,vucoo,472018,306811.7,165206.3,51,655334
2017-12-31,Japan,aeox,430728,279973.2,150754.8,21,201857
2017-01-01,United States,adoriva,3370,2190.5,1179.5,13,231131
2017-01-02,United States,apiera,251178,163265.7,87912.3,24,839286
2017-01-03,United States,neutratronic,387412,251817.8,135594.2,54,479020
2017-01-04,United States,vucoo,483958,314572.7,169385.3,66,684194
2017-01-05,United States,neutratronic,170839,111045.35,59793.65,51,510452
2017-01-06,United States,aeox,169769,110349.85,59419.15,75,967161
2017-01-07,United States,aeox,185875,120818.75,65056.25,88,461655
2017-01-08,United States,apiera,241215,156789.75,84425.25,75,346694
2017-01-09,United States,aeox,412961,268424.65,144536.35,18,630595
2017-01-10,United States,adoriva,197196,128177.4,69018.6,17,226438
2017-01-11,United States,rezota,435023,282764.95,152258.05,87,979422
2017-01-12,United States,apiera,53094,34511.1,18582.9,68,431176
2017-01-13,United States,apiera,486986,316540.9,170445.1,94,798013
2017-01-14,United States,neutratronic,91061,59189.65,31871.35,24,951832
2017-01-15,United States,adoriva,38362,24935.3,13426.7,37,842325
2017-01-16,United States,vucoo,410225,266646.25,143578.75,31,737479
2017-01-17,United States,neutratronic,38100,24765,13335,47,257075
2017-01-18,United States,neutratronic,425205,276383.25,148821.75,78,274273
2017-01-19,United States,adoriva,499212,324487.8,174724.2,17,474093
2017-01-20,United States,vucoo,18154,11800.1,6353.9,27,651080
2017-01-21,United States,neutratronic,449947,292465.55,157481.45,81,946169
2017-01-22,United States,adoriva,152918,99396.7,53521.3,52,168638
2017-01-23,United States,rezota,283898,184533.7,99364.3,9,999360
2017-01-24,United States,apiera,190147,123595.55,66551.45,36,891724
2017-01-25,United States,aeox,17283,11233.95,6049.05,31,211424
2017-01-26,United States,rezota,34939,22710.35,12228.65,78,261857
2017-01-27,United States,vucoo,337480,219362,118118,29,587180
2017-01-28,United States,apiera,166571,108271.15,58299.85,82,620926
2017-01-29,United States,neutratronic,91464,59451.6,32012.4,40,683211
2017-01-30,United States,aeox,298394,193956.1,104437.9,88,800672
2017-01-31,United States,aeox,306504,199227.6,107276.4,40,236494
2017-02-01,United States,rezota,255505,166078.25,89426.75,4,307657
2017-02-02,United States,vucoo,28501,18525.65,9975.35,46,300935
2017-02-03,United States,rezota,140261,91169.65,49091.35,35,419710
2017-02-04,United States,neutratronic,275091,178809.15,96281.85,42,321810
2017-02-05,United States,adoriva,395914,257344.1,138569.9,44,551419
2017-02-06,United States,aeox,49754,32340.1,17413.9,60,828783
2017-02-07,United States,aeox,362830,235839.5,126990.5,23,930543
2017-02-08,United States,rezota,461958,300272.7,161685.3,7,924548
2017-02-09,United States,aeox,376293,244590.45,131702.55,29,361883
2017-02-10,United States,adoriva,462712,300762.8,161949.2,96,979770
2017-02-11,United States,adoriva,183214,119089.1,64124.9,63,762860
2017-02-12,United States,neutratronic,63613,41348.45,22264.55,20,133528
2017-02-13,United States,aeox,253226,164596.9,88629.1,11,161972
2017-02-14,United States,rezota,156917,101996.05,54920.95,95,179616
2017-02-15,United States,apiera,454164,295206.6,158957.4,63,772586
2017-02-16,United States,rezota,192027,124817.55,67209.45,47,527705
2017-02-17,United States,adoriva,321570,209020.5,112549.5,35,243399
2017-02-18,United States,aeox,469320,305058,164262,58,546099
2017-02-19,United States,rezota,386626,251306.9,135319.1,98,968888
2017-02-20,United States,vucoo,410126,266581.9,143544.1,15,288233
2017-02-21,United States,neutratronic,341844,222198.6,119645.4,47,936114
2017-02-22,United States,apiera,408007,265204.55,142802.45,25,623653
